Protein Accession	Sequence MD5 digest	Sequence Length	Analysis	Signature Accession	Signature Description	Start location	Stop location	Score	Status	Date	InterPro accession	InterPro description	GO annotations	Pathways annotations	Genome Accession
BFM33944.1	a4b79806532ef779b1bc3efa740adb8c	198	Pfam	PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	1	170	5.1E-29	T	23-05-2025	IPR001457	NADH:ubiquinone/plastoquinone oxidoreductase, chain 6	-	-	GCA_042854165.1
BFM33943.1	f00622f83ad98fe21d03ec20ebfb9467	484	Pfam	PF00361	NADH:quinone oxidoreductase/Mrp antiporter, TM	136	422	5.0E-80	T	23-05-2025	IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, transmembrane domain	-	-	GCA_042854165.1
BFM33942.1	313220d8db99a47087c9bda68dde2540	250	Pfam	PF00116	Cytochrome C oxidase subunit II, periplasmic domain	113	234	4.8E-61	T	23-05-2025	IPR002429	Cytochrome c oxidase subunit II-like C-terminal	-	-	GCA_042854165.1
BFM33942.1	313220d8db99a47087c9bda68dde2540	250	Pfam	PF02790	Cytochrome C oxidase subunit II, transmembrane domain	20	101	8.2E-22	T	23-05-2025	IPR011759	Cytochrome C oxidase subunit II, transmembrane domain	-	-	GCA_042854165.1
BFM33951.1	e1344a49e36298ac9c4bead543d8ea6f	385	Pfam	PF00361	NADH:quinone oxidoreductase/Mrp antiporter, TM	34	315	4.7E-62	T	23-05-2025	IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, transmembrane domain	-	-	GCA_042854165.1
BFM33940.1	82948bd8f89f49d4d9a42ebca06362dc	301	Pfam	PF00146	NADH dehydrogenase	1	286	4.1E-108	T	23-05-2025	IPR001694	NADH:ubiquinone oxidoreductase, subunit 1/F420H2 oxidoreductase subunit H	-	-	GCA_042854165.1
BFM33949.1	b73827566e2a2f9ee55cf59ee12c90c7	72	Pfam	PF02326	Plant ATP synthase F0	2	49	1.2E-6	T	23-05-2025	IPR003319	ATP synthase YMF19-like, N-terminal	-	-	GCA_042854165.1
BFM33948.1	5fcf425e9692f717319e18aaf1cf04de	99	Pfam	PF00420	NADH-ubiquinone/plastoquinone oxidoreductase chain 4L	5	98	4.5E-17	T	23-05-2025	IPR039428	NADH-ubiquinone oxidoreductase chain 4L/Mnh complex subunit C1-like	-	-	GCA_042854165.1
BFM33945.1	aa3e9e3c60c588693bcbf9f086055e5c	383	Pfam	PF00033	Cytochrome b/b6/petB	18	202	1.7E-78	T	23-05-2025	IPR005797	Cytochrome b/b6, N-terminal domain	-	-	GCA_042854165.1
BFM33945.1	aa3e9e3c60c588693bcbf9f086055e5c	383	Pfam	PF00032	Cytochrome b(C-terminal)/b6/petD	257	358	5.4E-38	T	23-05-2025	IPR005798	Cytochrome b/b6, C-terminal	-	-	GCA_042854165.1
BFM33946.1	1f7e6b9b3e866ada4d2e1372263d61a8	262	Pfam	PF00510	Cytochrome c oxidase subunit III	7	262	5.7E-117	T	23-05-2025	IPR000298	Cytochrome c oxidase subunit III-like	-	-	GCA_042854165.1
BFM33941.1	9e6e95d2cc113a9d61536ca3e039d6a8	118	Pfam	PF00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	21	117	3.2E-31	T	23-05-2025	IPR000440	NADH:ubiquinone/plastoquinone oxidoreductase, chain 3	-	-	GCA_042854165.1
BFM33939.1	fa3fd03b37f192a97e0a5ea56b47bf3a	620	Pfam	PF00361	NADH:quinone oxidoreductase/Mrp antiporter, TM	131	424	1.2E-78	T	23-05-2025	IPR001750	NADH:quinone oxidoreductase/Mrp antiporter, transmembrane domain	-	-	GCA_042854165.1
BFM33939.1	fa3fd03b37f192a97e0a5ea56b47bf3a	620	Pfam	PF06455	NADH dehydrogenase subunit 5 C-terminus	427	609	4.2E-19	T	23-05-2025	IPR010934	NADH dehydrogenase subunit 5, C-terminal	-	-	GCA_042854165.1
BFM33939.1	fa3fd03b37f192a97e0a5ea56b47bf3a	620	Pfam	PF00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus	64	114	1.9E-13	T	23-05-2025	IPR001516	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminal	-	-	GCA_042854165.1
BFM33947.1	f12b2913ff78be509715bc0bfe682a85	534	Pfam	PF00115	Cytochrome C and Quinol oxidase polypeptide I	21	467	0.0	T	23-05-2025	IPR000883	Cytochrome c oxidase subunit I	-	-	GCA_042854165.1
BFM33950.1	45805fa8f56c5786e326788014edcb9d	232	Pfam	PF00119	ATP synthase A chain	22	225	3.0E-50	T	23-05-2025	IPR000568	ATP synthase, F0 complex, subunit A	-	-	GCA_042854165.1
